"REF_DATE","GEO","DGUID","Type of structure","Type of unit","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2009","Cobourg, Ontario","2011S0504527","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824923","73.4.3","881","","","","0"
"2010","Cobourg, Ontario","2011S0504527","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824923","73.4.3","870","","","","0"
"2011","Cobourg, Ontario","2011S0504527","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824923","73.4.3","890","","","","0"
"2012","Cobourg, Ontario","2011S0504527","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824923","73.4.3","932","","","","0"
"2013","Cobourg, Ontario","2011S0504527","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824923","73.4.3","930","","","","0"
"2014","Cobourg, Ontario","2011S0504527","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824923","73.4.3","934","","","","0"
"2015","Cobourg, Ontario","2011S0504527","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824923","73.4.3","1004","","","","0"
"2016","Cobourg, Ontario","2011S0504527","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824923","73.4.3","1018","","","","0"
"2017","Cobourg, Ontario","2011S0504527","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824923","73.4.3","1068","","","","0"
"2018","Cobourg, Ontario","2011S0504527","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824923","73.4.3","1114","","","","0"
"2019","Cobourg, Ontario","2011S0504527","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824923","73.4.3","1181","","","","0"
"2020","Cobourg, Ontario","2011S0504527","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824923","73.4.3","1238","","","","0"
"2021","Cobourg, Ontario","2011S0504527","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824923","73.4.3","1326","","","","0"
